Type,move_speed,move_time,move_angle,move_acceleration
OTHER_ACTION,1,6,12,4
FALL,0,8.33,12.33,4
FALL,0,6.33,10.33,3
FALL,0,4,7,3
FALL,0,7,8,1
OTHER_ACTION,2,14.67,25.67,10
OTHER_ACTION,0.5,7,12,5
OTHER_ACTION,1,4.67,9.67,5
OTHER_ACTION,2,11,15,4
OTHER_ACTION,2,11.67,20.67,9
OTHER_ACTION,3,9.33,18.33,9
OTHER_ACTION,5,13.33,22.33,9
OTHER_ACTION,4.5,20.67,30.67,10
WALK,0,3,5,1
WALK,0,4,7,3
FALL,0,7,10,2
FALL,0,6.33,10.33,3
FALL,0,5.67,8.67,2
FALL,0,6,9,2
OTHER_ACTION,1,15.33,23.33,7
OTHER_ACTION,1,20.33,28.33,7
FALL,0,8,11,2
FALL,0,5,8,2
FALL,0.5,2.67,5.67,2
FALL,0,6.67,12.67,4
OTHER_ACTION,1,9.67,17.67,7
OTHER_ACTION,0.5,9,16,6
OTHER_ACTION,0.5,7,15,7
OTHER_ACTION,1,9,16,7
OTHER_ACTION,1.5,7.33,16.33,8
OTHER_ACTION,3,8,18,9
RUN,4,18.33,28.33,6
RUN,5.5,25.33,35.33,7
RUN,10,20.33,29.33,6
RUN,9,21.33,35.33,9
OTHER_ACTION,2.5,20.33,32.33,10
OTHER_ACTION,4,24.33,36.33,10
OTHER_ACTION,4.5,28,39,10
OTHER_ACTION,9,22.67,34.67,10
FALL,0,2.67,6.67,2
FALL,0,3,3,0
FALL,0,1.67,2.67,1
FALL,0,3,5,2
FALL,0.5,5.67,7.67,2
FALL,0,4,5,1
OTHER_ACTION,1.5,15.67,19.67,3
OTHER_ACTION,1.5,16,24,6
OTHER_ACTION,3,31,41,10
OTHER_ACTION,4,33,48,10
FALL,0,4.67,9.67,4
FALL,0,8.67,12.67,4
FALL,0,5.67,9.67,4
FALL,0,7.67,12.67,5
FALL,0,4,7,3
FALL,0,9,14,5
FALL,0,7,10,3
FALL,0,3.33,4.33,1
FALL,0.5,4.33,5.33,1
FALL,0.5,5.67,7.67,2
FALL,0,7,9,2
WALK,0,3,10,5
OTHER_ACTION,1,14,19,5
OTHER_ACTION,3,9.33,16.33,7
OTHER_ACTION,2,11.67,20.67,9
OTHER_ACTION,3.5,11.33,15.33,4
FALL,0,3,5,2
FALL,0,10.67,14.67,4
FALL,0,10,13,3
FALL,0.5,5,11,6
FALL,0.5,6.67,9.67,3
FALL,0.5,9.67,16.67,7
WALK,0.5,7,10,3
FALL,0,1.67,4.67,3
FALL,0,2.67,3.67,1
FALL,0,4.67,5.67,1
FALL,0,9.67,9.67,0
FALL,0,5.67,9.67,4
FALL,0,4.33,5.33,1
FALL,0,5,8,3
FALL,0,4.67,4.67,0
FALL,0,2,4,1
FALL,0,2.67,5.67,2
FALL,0,5.67,8.67,2
FALL,0,1,2,1
FALL,0,2,4,2
FALL,0,2.67,5.67,3
FALL,0,8.33,15.33,6
FALL,0,5.67,8.67,2
FALL,0,6.33,13.33,6
FALL,0,10.33,16.33,6
FALL,0,8,12,3
WALK,0.5,4,6,2
FALL,0,9.67,14.67,5
FALL,0,9.33,16.33,7
FALL,0,6.33,11.33,5
FALL,0,5.33,9.33,4
FALL,0,7.33,8.33,1
FALL,0,1,3,2
FALL,0,5.33,7.33,2
FALL,0,7.67,11.67,3
FALL,0,7,10,3
FALL,0,7,11,4
FALL,0,4.67,5.67,1
FALL,0,4.33,8.33,3
FALL,0,5.67,8.67,3
RUN,4,14.67,24.67,9
RUN,4,9.67,20.67,10
RUN,4,15,26,9
RUN,4.5,15,28,10
OTHER_ACTION,0.5,19,27,7
OTHER_ACTION,1,25,34,8
OTHER_ACTION,2.5,24.67,34.67,10
OTHER_ACTION,5,25,35,9
OTHER_ACTION,16,57,72,10
OTHER_ACTION,1.5,14,21,7
OTHER_ACTION,2,14.33,22.33,8
OTHER_ACTION,2,11,19,8
FALL,0,4,5,1
FALL,0,2.67,3.67,0
FALL,0,5.33,6.33,1
FALL,0,1.67,2.67,0
FALL,0,3.33,6.33,3
FALL,0,5,8,3
RUN,2.5,18,28,10
RUN,4,17,27,9
RUN,3,22,32,10
RUN,6,26,37,10
RUN,2,14,23,9
RUN,2.5,12.33,20.33,8
RUN,3,15.33,24.33,9
RUN,3,17,27,10
FALL,0,1.67,1.67,0
FALL,0,2,2,0
FALL,0,3.33,4.33,1
OTHER_ACTION,1.5,18.67,28.67,10
OTHER_ACTION,2.5,15.67,24.67,8
OTHER_ACTION,2,24.67,33.67,9
OTHER_ACTION,2,17.67,27.67,10
RUN,3,24.67,36.67,10
RUN,3,29,43,10
FALL,0,2.67,3.67,0
FALL,0,6.33,9.33,2
FALL,0,2,2,0
FALL,0,3,5,1
FALL,0,2.33,4.33,2
FALL,0,5.33,5.33,0
FALL,0,5,5,0
FALL,0,5.67,6.67,1
FALL,0,2,2,0
FALL,0,3.67,3.67,0
RUN,3,11.33,20.33,5
RUN,2.5,13.33,18.33,3
RUN,4,16,21,3
RUN,3,21,27,4
RUN,8,22.67,36.67,10
RUN,5,26.67,38.67,10
RUN,5,31,44,10
RUN,7,42.67,56.67,10
RUN,9,34.33,48.33,10
FALL,0,3,4,1
FALL,0,2.67,3.67,0
FALL,0,3.33,3.33,0
FALL,0,2.33,2.33,0
FALL,0,0.67,0.67,0
FALL,0,3.67,3.67,0
FALL,0,1,2,1
WALK,1,3,9,4
FALL,0,1.67,2.67,1
FALL,0,3.33,3.33,0
FALL,0,3.67,3.67,0
FALL,0.5,2.33,3.33,1
OTHER_ACTION,2,10.67,17.67,6
OTHER_ACTION,2.5,17.33,25.33,6
OTHER_ACTION,2.5,7.67,16.67,7
OTHER_ACTION,0.5,7,11,4
OTHER_ACTION,1.5,7.67,13.67,6
OTHER_ACTION,1.5,10,17,7
OTHER_ACTION,2,9.33,14.33,5
OTHER_ACTION,3.5,6.67,11.67,4
OTHER_ACTION,3.5,17,23,6
OTHER_ACTION,3.5,12.33,20.33,7
OTHER_ACTION,3.5,27.67,35.67,6
OTHER_ACTION,4,30.33,40.33,8
OTHER_ACTION,1.5,18.67,26.67,8
OTHER_ACTION,5.5,31,44,10
FALL,0,8,12,4
FALL,0,5.67,9.67,3
FALL,0,5.67,7.67,2
FALL,0,5,8,2
OTHER_ACTION,0.5,2,3,1
OTHER_ACTION,0.5,5.67,8.67,3
OTHER_ACTION,0.5,7.33,10.33,3
OTHER_ACTION,0.5,7.33,11.33,4
OTHER_ACTION,0.5,4,8,4
OTHER_ACTION,0.5,8,11,3
OTHER_ACTION,2,13,21,8
OTHER_ACTION,2.5,10.67,19.67,8
OTHER_ACTION,2.5,16.33,26.33,10
OTHER_ACTION,3,15.67,25.67,10
OTHER_ACTION,5,22,32,9
OTHER_ACTION,8,32,45,10
RUN,3,11.67,21.67,7
RUN,5,18.67,32.67,10
RUN,10,31.33,42.33,9
RUN,12,41.67,54.67,10
RUN,4,19,28,9
RUN,4,13.33,22.33,9
OTHER_ACTION,2.5,12.67,25.67,10
OTHER_ACTION,3.5,16,30,10
OTHER_ACTION,3.5,15.33,28.33,9
OTHER_ACTION,1.5,6,9,2
OTHER_ACTION,0.5,4,8,3
OTHER_ACTION,0.5,4.67,7.67,2
OTHER_ACTION,0.5,4.33,8.33,3
OTHER_ACTION,0.5,2.67,3.67,0
OTHER_ACTION,1.5,3.33,5.33,1
FALL,0,4,6,2
FALL,0,5.67,9.67,3
FALL,0,4.67,7.67,3
FALL,0,5,8,2
FALL,0,3.67,6.67,3
FALL,0,4,8,3
OTHER_ACTION,0.5,11.33,15.33,4
OTHER_ACTION,0.5,9.67,13.67,4
OTHER_ACTION,0.5,6.33,11.33,5
OTHER_ACTION,0.5,8.33,13.33,5
OTHER_ACTION,0.5,10.67,13.67,3
FALL,0,5.67,8.67,3
FALL,0.5,8.33,13.33,3
FALL,0,9.33,13.33,4
FALL,0,7.33,9.33,2
FALL,0,9,13,4
FALL,0,8.67,11.67,3
FALL,0,6,9,3
FALL,0,8.67,11.67,3
FALL,0,8,11,3
FALL,0,4,5,1
FALL,0,4.33,10.33,4
FALL,0,14,15,1
FALL,0,4.67,7.67,3
FALL,1,4,6,2
FALL,0,5,9,4
FALL,0,9.67,13.67,4
FALL,0,7,11,4
FALL,0.5,6,10,4
FALL,0,3.33,4.33,1
FALL,2,10,14,4
OTHER_ACTION,1,9.67,14.67,5
OTHER_ACTION,1.5,9,16,7
OTHER_ACTION,1,11,18,7
OTHER_ACTION,1.5,8,14,6
OTHER_ACTION,1,14,24,10
OTHER_ACTION,2,13.33,22.33,9
OTHER_ACTION,2,10.33,19.33,9
OTHER_ACTION,2.5,19,29,10
OTHER_ACTION,0.5,10.67,16.67,6
OTHER_ACTION,1.5,10.67,15.67,5
OTHER_ACTION,1,11.67,19.67,7
OTHER_ACTION,3,13.67,21.67,8
OTHER_ACTION,5,15.67,26.67,10
OTHER_ACTION,6,13.33,20.33,6
OTHER_ACTION,8,29.33,40.33,10
RUN,4.5,20.67,31.67,10
RUN,4.5,20,31,10
RUN,4.5,19.67,29.67,10
FALL,0,3.67,3.67,0
FALL,0,1.67,2.67,1
FALL,0,3.33,3.33,0
FALL,0,4,9,4
FALL,0,3,4,1
OTHER_ACTION,1,5,8,2
OTHER_ACTION,0,5.33,8.33,2
OTHER_ACTION,0,5,7,1
RUN,3.5,14.33,22.33,8
RUN,4,17,27,10
RUN,7,18.67,30.67,10
OTHER_ACTION,3,12.67,19.67,7
OTHER_ACTION,3.5,15.67,24.67,9
OTHER_ACTION,5,19,29,10
OTHER_ACTION,5,13.33,25.33,10
OTHER_ACTION,5,18,28,9
OTHER_ACTION,6,18.33,30.33,10
OTHER_ACTION,0.5,7.33,17.33,6
OTHER_ACTION,0.5,5.67,11.67,5
OTHER_ACTION,1,6.67,8.67,2
OTHER_ACTION,0.5,6.33,10.33,4
OTHER_ACTION,0.5,7.33,13.33,5
OTHER_ACTION,0.5,6.33,11.33,5
OTHER_ACTION,1,5,7,2
RUN,4.5,34.33,49.33,10
RUN,7,34,49,10
RUN,12,41.33,56.33,10
OTHER_ACTION,0.5,11.33,22.33,10
OTHER_ACTION,0.5,11,22,10
OTHER_ACTION,1,11.33,20.33,9
OTHER_ACTION,0.5,15,24,9
OTHER_ACTION,0.5,12.67,24.67,10
OTHER_ACTION,0.5,12,23,10
OTHER_ACTION,2,11,18,7
OTHER_ACTION,3.5,6.33,11.33,5
OTHER_ACTION,2,13.67,19.67,6
FALL,0,6.67,8.67,2
FALL,0,6,8,2
FALL,0,5.33,7.33,2
FALL,0,3.33,6.33,2
FALL,0,3,6,3
FALL,0,4.33,5.33,1
FALL,0,4.33,6.33,1
FALL,0,5,6,1
FALL,0,4.33,7.33,3
FALL,0,1.33,2.33,1
FALL,0,7.33,9.33,1
OTHER_ACTION,1,15,24,8
OTHER_ACTION,0.5,15.67,24.67,8
OTHER_ACTION,1,17.33,25.33,8
OTHER_ACTION,3,12.67,21.67,8
OTHER_ACTION,2,17.67,28.67,10
WALK,0,3,6,2
OTHER_ACTION,0.5,7,12,4
OTHER_ACTION,1.5,9.33,17.33,6
RUN,1.5,12,21,9
RUN,2,18,28,10
RUN,1.5,18.67,25.67,7
RUN,1.5,16,25,9
FALL,0,16.33,18.33,2
FALL,0,3.33,5.33,2
FALL,1.5,3.67,6.67,3
FALL,1.5,6.67,9.67,3
FALL,2,6,11,3
OTHER_ACTION,0,6.33,10.33,3
OTHER_ACTION,0.5,3.33,8.33,4
OTHER_ACTION,0.5,7,9,0
OTHER_ACTION,0.5,5.67,12.67,4
FALL,0,8.33,12.33,4
FALL,0,11,16,5
FALL,0,4,9,5
FALL,0,6.33,12.33,5
FALL,0,13.67,14.67,1
FALL,0,6.67,9.67,3
FALL,0,7.33,12.33,5
FALL,0,5.67,8.67,3
FALL,0,6.67,7.67,1
WALK,0,6,12,5
OTHER_ACTION,1,11.33,20.33,8
OTHER_ACTION,1,14.67,19.67,5
OTHER_ACTION,1.5,14.33,21.33,7
OTHER_ACTION,2.5,15.33,22.33,6
FALL,0,5.67,6.67,1
FALL,0,4,6,2
FALL,0,3.67,4.67,1
FALL,0,7,11,4
OTHER_ACTION,1.5,4.33,9.33,5
OTHER_ACTION,0.5,11.33,23.33,9
OTHER_ACTION,2.5,20.33,31.33,9
OTHER_ACTION,4.5,24.67,35.67,10
OTHER_ACTION,4.5,30.33,42.33,10
OTHER_ACTION,5,32.33,43.33,10
OTHER_ACTION,2,12,20,6
RUN,4.5,12.67,22.67,10
RUN,5,16.67,27.67,10
RUN,5.5,12.67,22.67,10
FALL,0,4.67,6.67,1
FALL,0,3.67,3.67,0
FALL,0,4.33,8.33,3
FALL,0,5.67,6.67,1
FALL,0.5,6.67,9.67,3
FALL,0,9,13,3
FALL,0.5,4,8,3
FALL,0,10,18,7
FALL,0.5,5.67,8.67,2
FALL,0,6.67,7.67,1
WALK,0,2,3,1
OTHER_ACTION,1,13,21,6
OTHER_ACTION,1,12.33,22.33,6
OTHER_ACTION,1,10,19,7
OTHER_ACTION,1.5,13,23,8
OTHER_ACTION,2.5,17,29,9
OTHER_ACTION,2,4,8,3
OTHER_ACTION,1,9.67,13.67,3
OTHER_ACTION,0,7.33,10.33,2
OTHER_ACTION,3.5,9,18,9
RUN,3,23,33,7
RUN,3.5,18.33,30.33,10
RUN,3,18.33,28.33,8
OTHER_ACTION,2.5,16,23,5
OTHER_ACTION,2,12.33,20.33,6
OTHER_ACTION,3.5,20.67,30.67,6
OTHER_ACTION,4.5,20,31,8
FALL,0,5,7,2
FALL,1,6.67,8.67,1
FALL,0,8.67,14.67,5
OTHER_ACTION,1,9.67,15.67,4
OTHER_ACTION,0.5,1.67,1.67,0
OTHER_ACTION,0.5,8,10,2
OTHER_ACTION,1,5,7,2
OTHER_ACTION,1,5.33,5.33,0
OTHER_ACTION,0.5,6.33,6.33,0
OTHER_ACTION,1.5,5,5,0
OTHER_ACTION,1.5,10.33,18.33,7
OTHER_ACTION,3,19.67,31.67,10
OTHER_ACTION,3.5,16.67,27.67,10
OTHER_ACTION,4,14,25,10
OTHER_ACTION,3,19,30,10
OTHER_ACTION,6,19,30,10
OTHER_ACTION,5.5,25.67,37.67,10
OTHER_ACTION,0,0,0,0
FALL,0,6.67,10.67,3
FALL,0,5,8,3
FALL,0,8.33,12.33,3
FALL,0.5,7.33,12.33,4
FALL,0.5,5.33,9.33,4
FALL,0,4,6,2
RUN,4,12.33,21.33,5
RUN,4.5,12.33,23.33,8
RUN,8,15.67,27.67,9
OTHER_ACTION,1,14.33,19.33,5
OTHER_ACTION,1.5,9.33,15.33,6
OTHER_ACTION,1.5,14.33,23.33,9
OTHER_ACTION,2,13,19,6
OTHER_ACTION,2,16,24,8
OTHER_ACTION,2.5,15,24,9
OTHER_ACTION,2.5,17.67,25.67,8
RUN,3.5,15,22,5
OTHER_ACTION,2,9,18,9
OTHER_ACTION,5.5,21,32,10
OTHER_ACTION,10,22,33,10
RUN,4.5,12.67,22.67,9
RUN,7,24,35,10
RUN,14,39.33,51.33,10
OTHER_ACTION,4,10,19,8
OTHER_ACTION,6,11,21,8
FALL,0,6.33,10.33,2
FALL,1.5,12,19,6
FALL,2,14,23,5
FALL,4,13.33,24.33,6
FALL,6,21.67,31.67,7
OTHER_ACTION,2,9.67,12.67,3
OTHER_ACTION,0.5,4,7,3
OTHER_ACTION,0.5,8.67,11.67,3
OTHER_ACTION,0,5.67,8.67,2
OTHER_ACTION,0,8.67,10.67,1
OTHER_ACTION,0,8,11,2
OTHER_ACTION,2.5,13.33,21.33,5
RUN,8,28,36,7
FALL,0,0,1,0
FALL,0,0,1,0
FALL,0,1.67,2.67,0
FALL,0,8,11,2
FALL,1,10.33,13.33,2
FALL,1.5,8.67,10.67,2
FALL,2.5,13.33,18.33,4
OTHER_ACTION,1.5,8.33,17.33,9
OTHER_ACTION,2,11.67,22.67,9
OTHER_ACTION,2.5,9.33,19.33,9
OTHER_ACTION,4.5,11,23,10
OTHER_ACTION,5,10.33,22.33,9
FALL,0,6.67,11.67,4
FALL,0.5,5.33,10.33,3
FALL,0,4.33,5.33,1
OTHER_ACTION,1.5,12.33,17.33,4
OTHER_ACTION,2,12.67,17.67,5
OTHER_ACTION,2,11.33,16.33,5
OTHER_ACTION,2,10.33,17.33,6
OTHER_ACTION,5.5,11.67,15.67,4
OTHER_ACTION,1.5,10,19,8
OTHER_ACTION,2,12.67,19.67,6
OTHER_ACTION,5,20,29,8
FALL,0.5,9,14,5
FALL,0.5,10,15,5
OTHER_ACTION,1.5,7.67,15.67,8
OTHER_ACTION,2,10.67,16.67,5
OTHER_ACTION,5,17,27,10
OTHER_ACTION,0.5,15,26,9
OTHER_ACTION,3.5,19.33,30.33,10
OTHER_ACTION,2.5,19,29,9
OTHER_ACTION,5,15.67,26.67,10
OTHER_ACTION,5,26.33,37.33,10
OTHER_ACTION,10,24,36,10
FALL,0,5.67,6.67,0
FALL,0,5.67,7.67,1
FALL,0,3.67,5.67,1
FALL,0,5.33,8.33,1
FALL,0,7.67,13.67,4
FALL,0,12,14,2
OTHER_ACTION,0.5,10.33,14.33,4
OTHER_ACTION,1.5,14.33,20.33,6
OTHER_ACTION,2,12.67,19.67,7
OTHER_ACTION,3.5,17,26,9
OTHER_ACTION,3.5,13.33,23.33,10
FALL,0,8.33,10.33,2
FALL,0,6.33,7.33,1
FALL,0,4,6,2
FALL,0,2.67,3.67,1
FALL,0,6.33,9.33,3
FALL,0,8.33,9.33,1
FALL,0,9,11,2
FALL,0,2.33,4.33,2
FALL,0,4,7,3
FALL,0,4.33,7.33,3
FALL,0,5.67,9.67,4
FALL,0,6.33,11.33,4
FALL,0,3.33,5.33,2
FALL,0,7.33,11.33,1
FALL,0,7.33,13.33,2
FALL,0,5.33,9.33,2
RUN,6,16.67,22.67,4
RUN,8,15.67,22.67,6
RUN,9,18.33,24.33,4
RUN,8,18.33,26.33,6
OTHER_ACTION,2.5,10.67,20.67,8
OTHER_ACTION,5,12.33,24.33,10
OTHER_ACTION,6,16.67,29.67,10
OTHER_ACTION,11,22.33,35.33,9
OTHER_ACTION,9,31.67,45.67,10
FALL,0,3.67,4.67,1
FALL,0,4.67,4.67,0
FALL,0,0.67,0.67,0
FALL,0,0.33,0.33,0
FALL,0,1,1,0
OTHER_ACTION,1,12,23,9
OTHER_ACTION,1,9,19,8
OTHER_ACTION,1,10,21,9
OTHER_ACTION,0.5,7.33,15.33,6
OTHER_ACTION,0.5,14,23,7
OTHER_ACTION,0.5,12,23,9
OTHER_ACTION,1,6.67,9.67,3
OTHER_ACTION,1,10,14,4
OTHER_ACTION,1,4,9,5
OTHER_ACTION,1,17.33,20.33,3
OTHER_ACTION,1,8.67,13.67,5
OTHER_ACTION,1,8.67,16.67,6
OTHER_ACTION,1,9,12,3
OTHER_ACTION,0.5,9.33,14.33,5
OTHER_ACTION,0.5,6.67,10.67,4
OTHER_ACTION,1,5,7,2
OTHER_ACTION,1,9.33,13.33,4
FALL,0,6,8,2
FALL,0,6,10,3
FALL,0,5.33,9.33,3
FALL,0.5,4.67,8.67,3
FALL,0.5,2.67,4.67,2
OTHER_ACTION,0.5,10.67,18.67,7
OTHER_ACTION,0.5,11.67,22.67,9
OTHER_ACTION,0.5,17,30,10
OTHER_ACTION,1.5,7,11,3
OTHER_ACTION,1.5,6.33,12.33,5
OTHER_ACTION,2,13.67,22.67,8
OTHER_ACTION,1,10,17,6
OTHER_ACTION,2.5,10.33,16.33,6
RUN,4,22,34,9
RUN,3,25.33,39.33,10
RUN,3.5,23.67,33.67,9
RUN,6,38.33,51.33,10
OTHER_ACTION,1,10.67,18.67,6
OTHER_ACTION,1,11,17,4
OTHER_ACTION,1.5,10.33,15.33,3
OTHER_ACTION,1.5,12.67,21.67,7
OTHER_ACTION,3.5,17,27,7
OTHER_ACTION,2.5,10,16,5
OTHER_ACTION,0.5,5.33,10.33,4
OTHER_ACTION,0,5.67,8.67,2
OTHER_ACTION,1,4,7,2
OTHER_ACTION,0.5,3.67,6.67,3
OTHER_ACTION,0,5.67,10.67,4
OTHER_ACTION,0,6.67,13.67,6
WALK,0,5,6,0
OTHER_ACTION,2,19.67,29.67,9
OTHER_ACTION,2,16.67,25.67,8
OTHER_ACTION,3.5,23,33,10
OTHER_ACTION,2.5,20.33,30.33,9
OTHER_ACTION,3.5,18,28,10
OTHER_ACTION,2.5,14.33,25.33,10
WALK,0,4,7,2
OTHER_ACTION,1,11.33,20.33,7
FALL,0,3,4,1
FALL,0,5.33,6.33,1
FALL,0,4.67,5.67,1
FALL,0,3.67,5.67,2
FALL,0,3.67,6.67,3
FALL,0,5,8,3
OTHER_ACTION,1.5,15,24,6
OTHER_ACTION,1.5,12.67,19.67,5
OTHER_ACTION,1,9.33,18.33,5
OTHER_ACTION,1,14,26,9
OTHER_ACTION,1,15,23,5
FALL,0,2.33,4.33,2
FALL,0,4.67,9.67,4
FALL,0,5.33,7.33,2
FALL,0,5,7,2
FALL,0,6,10,4
FALL,0,7.33,11.33,3
FALL,0,6,11,5
RUN,1.5,11.33,18.33,5
RUN,2,15.33,21.33,4
RUN,4.5,12.67,19.67,7
RUN,3,18,25,7
RUN,4.5,11.33,21.33,10
RUN,3,14,23,9
FALL,0,1.33,3.33,2
FALL,0,4,6,1
FALL,0,0.67,2.67,1
FALL,0,2.33,5.33,2
FALL,0,3.33,4.33,1
WALK,0.5,8,12,3
WALK,0,4,5,1
FALL,0,4,7,2
FALL,0,3.33,6.33,1
FALL,0,10,15,5
OTHER_ACTION,1,12,21,7
OTHER_ACTION,1,12.67,19.67,6
OTHER_ACTION,2.5,8.67,15.67,6
OTHER_ACTION,2.5,8,15,6
OTHER_ACTION,2,12.33,20.33,6
OTHER_ACTION,1.5,8.67,15.67,5
OTHER_ACTION,1.5,8.67,16.67,6
OTHER_ACTION,2,9,18,7
RUN,1.5,9.67,17.67,8
RUN,2.5,10.33,18.33,6
RUN,4,15,23,7
FALL,0,7.33,11.33,4
FALL,0,10.67,14.67,3
FALL,0,9.67,17.67,6
FALL,0,8,15,6
OTHER_ACTION,0.5,15.33,22.33,7
OTHER_ACTION,0.5,8.33,13.33,5
OTHER_ACTION,0.5,6.33,12.33,6
OTHER_ACTION,1,12.67,17.67,5
OTHER_ACTION,3,14.33,23.33,9
OTHER_ACTION,2,16.67,24.67,7
FALL,0,6.67,11.67,4
FALL,0,2.33,4.33,2
FALL,0,4,8,4
FALL,0,6,11,5
FALL,0,8.33,12.33,4
WALK,0,9,14,4
RUN,5,16.33,23.33,7
FALL,0,14.33,16.33,2
FALL,0,6.33,10.33,3
RUN,1.5,13.33,22.33,8
RUN,4,12.67,20.67,6
OTHER_ACTION,1.5,10.33,19.33,8
OTHER_ACTION,1.5,16.67,22.67,6
OTHER_ACTION,2.5,9.33,16.33,7
OTHER_ACTION,2.5,9.33,18.33,8
OTHER_ACTION,3.5,11,20,8
OTHER_ACTION,4,10.67,18.67,8
OTHER_ACTION,2,9.67,18.67,9
OTHER_ACTION,2,17.33,27.33,10
OTHER_ACTION,2,10.33,20.33,10
OTHER_ACTION,3,13.67,23.67,10
OTHER_ACTION,2.5,12.67,24.67,10
FALL,0,9,15,5
FALL,0,4.33,9.33,4
FALL,0.5,8.67,12.67,3
RUN,4,22.33,34.33,9
RUN,4.5,24,34,7
OTHER_ACTION,2,12,22,10
OTHER_ACTION,1.5,15,26,10
OTHER_ACTION,1.5,11.33,21.33,10
OTHER_ACTION,2,15,25,10
OTHER_ACTION,2,9.33,20.33,10
OTHER_ACTION,4,13.33,24.33,10
OTHER_ACTION,4.5,17.67,29.67,10
OTHER_ACTION,2.5,14.67,24.67,8
OTHER_ACTION,6,19,29,8
OTHER_ACTION,8,27.33,39.33,10
RUN,10,23,30,7
RUN,10,21.67,29.67,7
OTHER_ACTION,1.5,13,19,6
OTHER_ACTION,2,12.67,20.67,8
OTHER_ACTION,3,9.33,16.33,7
FALL,0,3.33,5.33,2
FALL,0,5,7,2
RUN,4,19.67,30.67,10
RUN,6.5,21.33,30.33,9
RUN,6.5,22,33,10
RUN,7,24.67,34.67,9
RUN,4.5,14.33,25.33,10
RUN,4.5,20,32,10
RUN,8,22.33,33.33,10
OTHER_ACTION,1.5,13.67,23.67,10
OTHER_ACTION,4,11.33,23.33,10
OTHER_ACTION,6,12.67,21.67,9
OTHER_ACTION,6,14,24,10
OTHER_ACTION,7,14.33,23.33,9
OTHER_ACTION,6,20,30,10
OTHER_ACTION,0.5,12,19,7
OTHER_ACTION,1,11,14,3
OTHER_ACTION,2,8.67,16.67,7
OTHER_ACTION,1.5,11.33,18.33,6
FALL,0,6.67,9.67,2
FALL,0,2,5,1
FALL,0,5.67,7.67,1
FALL,0,2,4,1
FALL,0,3.33,7.33,2
WALK,0,9,13,3
OTHER_ACTION,1.5,6.67,10.67,4
FALL,0.5,6.33,7.33,1
FALL,0,5,7,1
FALL,0,4.67,4.67,0
FALL,0,3,3,0
FALL,0,5,6,1
FALL,0,4,5,1
WALK,0,5,9,4
FALL,0,6.67,12.67,6
OTHER_ACTION,1.5,17,26,9
OTHER_ACTION,1.5,9.33,16.33,7
OTHER_ACTION,2,10.67,18.67,7
OTHER_ACTION,2,13,22,9
OTHER_ACTION,2.5,8.33,17.33,8
OTHER_ACTION,3.5,14,25,10
OTHER_ACTION,4.5,14,25,10
OTHER_ACTION,1,9.33,20.33,10
OTHER_ACTION,2.5,8,19,10
OTHER_ACTION,3.5,17.33,27.33,9
OTHER_ACTION,5.5,19.67,30.67,10
FALL,0,6.67,12.67,6
RUN,6.5,17,28,7
RUN,6,34.33,47.33,8
RUN,13,40,55,10
FALL,0,4,6,2
FALL,0,3.67,4.67,1
FALL,0,4,7,3
FALL,0,6,8,2
RUN,5,9.67,18.67,9
